iter	Passed	Remaining
693	1200	529
694	1202	527
695	1203	525
696	1204	523
697	1205	521
698	1206	519
699	1208	517
700	1210	516
701	1211	514
702	1213	512
703	1214	510
704	1215	508
705	1216	506
706	1218	504
707	1219	502
708	1220	500
709	1221	499
710	1223	497
711	1225	495
712	1227	493
713	1228	492
714	1229	490
715	1231	488
716	1232	486
717	1233	484
718	1234	482
719	1236	480
720	1237	478
721	1239	477
722	1241	475
723	1242	473
724	1243	471
725	1245	469
726	1246	468
727	1247	466
728	1248	464
729	1250	462
730	1251	460
731	1252	458
732	1255	457
733	1257	455
734	1258	453
735	1259	451
736	1261	450
737	1262	448
738	1263	446
739	1264	444
740	1266	442
741	1267	440
742	1269	439
743	1271	437
744	1272	435
745	1273	433
746	1275	431
747	1276	429
748	1277	428
749	1278	426
750	1280	424
751	1281	422
752	1282	420
753	1284	419
754	1286	417
755	1287	415
756	1288	413
757	1290	411
758	1291	410
759	1292	408
760	1293	406
761	1295	404
762	1296	402
763	1297	400
764	1299	399
765	1301	397
766	1302	395
767	1303	393
768	1304	392
769	1306	390
770	1307	388
771	1308	386
772	1310	384
773	1311	382
774	1312	381
775	1314	379
776	1316	377
777	1317	376
778	1319	374
779	1320	372
780	1321	370
781	1322	368
782	1324	366
783	1325	365
784	1326	363
785	1330	362
786	1331	360
787	1332	358
788	1334	356
789	1335	354
790	1336	353
791	1337	351
792	1339	349
793	1340	347
794	1341	346
795	1344	344
796	1345	342
797	1347	340
798	1348	339
799	1349	337
800	1350	335
801	1352	333
802	1353	331
803	1354	330
804	1355	328
805	1356	326
806	1359	325
807	1360	323
808	1361	321
809	1363	319
810	1364	317
811	1365	316
812	1366	314
813	1368	312
814	1369	310
815	1370	309
816	1371	307
817	1374	305
818	1375	304
819	1376	302
820	1378	300
821	1379	298
822	1380	296
823	1381	295
824	1383	293
825	1384	291
826	1385	289
827	1386	288
828	1389	286
829	1390	284
830	1392	283
831	1393	281
832	1394	279
833	1395	277
834	1397	276
835	1398	274
836	1399	272
837	1400	270
838	1402	269
839	1404	267
840	1405	265
841	1407	264
842	1408	262
843	1409	260
844	1410	258
845	1411	257
846	1413	255
847	1414	253
848	1415	251
849	1416	250
850	1419	248
851	1420	246
852	1421	245
853	1422	243
854	1424	241
855	1425	239
856	1426	238
857	1427	236
858	1429	234
859	1430	232
860	1431	231
861	1433	229
862	1435	227
863	1436	226
864	1437	224
865	1439	222
866	1440	220
867	1441	219
868	1442	217
869	1444	215
870	1445	214
871	1446	212
872	1448	210
873	1450	209
874	1451	207
875	1452	205
876	1454	203
877	1455	202
878	1456	200
879	1457	198
880	1459	197
881	1460	195
882	1461	193
883	1463	192
884	1465	190
885	1466	188
886	1467	186
887	1469	185
888	1470	183
889	1471	181
890	1472	180
891	1474	178
892	1475	176
893	1476	175
894	1478	173
895	1480	171
896	1481	170
897	1482	168
898	1483	166
899	1484	164
900	1486	163
901	1487	161
902	1488	159
903	1490	158
904	1491	156
905	1493	154
906	1494	153
907	1496	151
908	1497	149
909	1498	148
910	1499	146
911	1501	144
912	1502	143
913	1503	141
914	1504	139
915	1506	138
916	1508	136
917	1509	134
918	1510	133
919	1511	131
920	1513	129
921	1514	128
922	1515	126
923	1516	124
924	1517	123
925	1519	121
926	1520	119
927	1522	118
928	1524	116
929	1525	114
930	1526	113
931	1527	111
932	1529	109
933	1530	108
934	1531	106
935	1532	104
936	1533	103
937	1535	101
938	1537	99
939	1539	98
940	1540	96
941	1541	94
942	1542	93
943	1544	91
944	1545	89
945	1546	88
946	1547	86
947	1548	84
948	1550	83
949	1552	81
950	1553	80
951	1554	78
952	1556	76
953	1557	75
954	1558	73
955	1559	71
956	1561	70
957	1562	68
958	1563	66
959	1565	65
960	1568	63
961	1570	62
962	1571	60
963	1572	58
964	1573	57
965	1575	55
966	1576	53
967	1577	52
968	1578	50
969	1580	48
970	1582	47
971	1583	45
972	1584	43
973	1586	42
974	1587	40
975	1588	39
976	1589	37
977	1591	35
978	1592	34
979	1593	32
980	1594	30
981	1597	29
982	1598	27
983	1599	26
984	1601	24
985	1602	22
986	1603	21
987	1604	19
988	1606	17
989	1607	16
990	1608	14
991	1609	12
992	1611	11
993	1613	9
994	1614	8
995	1615	6
996	1617	4
997	1618	3
998	1619	1
999	1620	0
